name,bfs_nummer,relation,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,quality_category
Deitingen,2516,https://osm.org/relation/1683493,0.998825726464215,0.02511776011040319,3.305718691786525,0.11748158377546665,7599334.767613554,7597425.984936639,Excellent
Arlesheim,2763,https://osm.org/relation/1683616,0.9986670553848003,0.009662089833252143,15.072754935612489,0.13338980164418404,6928282.71193,6928952.128829529,Excellent
Eggerberg,6004,https://osm.org/relation/1685295,0.9975949409918693,0.13791209926686784,17.375766078283746,0.240961507503515,6047180.026961103,6055519.819882732,Excellent
Siglistorf,4319,https://osm.org/relation/1684426,0.995734587762309,0.07358854964866735,11.217268375068137,0.4272955769104807,5513011.504311459,5508954.559103472,Excellent
Bardonnex,6605,https://osm.org/relation/1685449,0.9504798849140791,4.7791134512574205,455.01558120209165,4.956401162524758,4997033.955873444,4758220.033924395,Good
Bettlach,2543,https://osm.org/relation/1683481,0.9993659560391841,0.031046588550109108,3.0944574957610365,0.06343434861565417,12192793.044167994,12196578.490457183,Excellent
Boécourt,6702,https://osm.org/relation/1685577,0.9979685925280443,0.055311609416770185,7.994738584863201,0.20340352512430715,12347074.202900022,12353903.56835753,Excellent
Le Cerneux-Péquignot,6434,https://osm.org/relation/1685503,0.9956405763247831,0.33710953233813074,23.53978933017224,0.4361582652172373,15696307.759187244,15643394.009505894,Excellent
Port-Valais,6154,https://osm.org/relation/1685352,0.9981338752648871,0.042410543301817996,19.345559331300414,0.18682636584451714,15070281.678753857,15076673.06709093,Excellent
Chavannes-sur-Moudon,5665,https://osm.org/relation/1684894,0.9985412449922554,0.009420815196381572,5.335295535331106,0.14597510039817108,5148147.244696513,5147662.247258552,Excellent
Oberdiessbach,619,https://osm.org/relation/3411235,0.9990336828391312,0.018088199863980456,31.13410933508341,0.09668717079202212,16464047.765450545,16467025.81531606,Excellent
Rain,1037,https://osm.org/relation/1682907,0.998713555247965,0.013029867995640902,4.071200883747815,0.12871888897045144,9423561.666638993,9422333.788993342,Excellent
Stadel,100,https://osm.org/relation/1682210,0.9988821167719488,0.018690341617136293,3.9871257459535756,0.11184038824250768,12885646.164937468,12883237.793649666,Excellent
Abtwil,4221,https://osm.org/relation/1684253,0.9906290522161536,0.04674648401776551,14.869930685850553,0.9417262415329881,4136312.8844301132,4138246.465271558,Excellent
Thayngen,2920,https://osm.org/relation/1683713,0.997730346899674,0.02637733762027633,22.15485207316742,0.22719320120635159,19924449.941625733,19919194.402195647,Excellent
Serravalle,5050,https://osm.org/relation/2569271,0.9939865952868029,0.12632249802699283,267.9999520047562,0.6035349353846741,96801021.42727794,96923302.89566052,Excellent
Giornico,5073,https://osm.org/relation/1684678,0.9899713650126171,0.2720898125444209,121.79959817481488,1.0065462967353065,25995542.59855818,25924811.375431858,Excellent
Thal,3237,https://osm.org/relation/1683948,0.9852034161762038,0.7451118926588378,495.32653230333824,1.4851332765988676,9685894.030494476,9613723.282162929,Excellent
Ursenbach,344,https://osm.org/relation/1682701,0.9982075680644072,0.001617031936007898,13.414934785724205,0.17940252775946527,9170471.193268493,9170322.903820615,Excellent
Bofflens,5747,https://osm.org/relation/1684857,0.997435195907522,0.009950574169606506,16.41451269429461,0.2567969655650396,4206756.872855468,4206338.276392699,Excellent
Saint-Livres,5435,https://osm.org/relation/1685137,0.9986765103719272,0.0082115056079768,5.480174355923236,0.1324420395613574,8123026.592561031,8123693.615345216,Excellent
Lohn (SH),2917,https://osm.org/relation/1683671,0.9900658582012027,0.14602523756286306,23.514654625408316,0.9991021085969551,4866151.003478914,4873256.812041911,Excellent
Auswil,322,https://osm.org/relation/1682368,0.997768071783899,0.012639715753264152,6.053041801245751,0.22342805382976777,4623881.439549923,4623296.994079196,Excellent
Ursins,5932,https://osm.org/relation/1685169,0.9964503843220436,0.1360685786794274,11.582820999719605,0.35535075151497375,3361419.447033096,3356845.6113680643,Excellent
Hettlingen,221,https://osm.org/relation/1682137,0.9980433967686786,0.004349198159705817,5.078484906253394,0.19585618438139837,5899754.701893052,5900011.293915974,Excellent
Neckertal,3396,https://osm.org/relation/1683910,0.9994547647874512,0.000949446386307852,3.7281545041827737,0.054538648286451316,81840278.76077221,81841055.79034145,Excellent
Trun,3987,https://osm.org/relation/1684193,0.999568856400941,0.0012975631705124829,3.41237897156535,0.043123376371781166,51901749.25356365,51901075.795580484,Excellent
Grosswangen,1086,https://osm.org/relation/1682846,0.9992973478298336,0.001398928951432529,3.192922980435043,0.07029040334904449,19704274.943276267,19704550.59208312,Excellent
Härkingen,2402,https://osm.org/relation/1683529,0.9986358119786053,0.0410755324985778,3.07268045657065,0.13653995259805374,5508063.051782785,5510325.518011662,Excellent
Degersheim,3401,https://osm.org/relation/1683872,0.9633764935113708,3.540879091809835,1519.7342554502056,3.664616497706527,14477338.529598452,13964713.476553371,Good
Klosters,3871,https://osm.org/relation/5817235,0.9997478818223142,0.004361845811244248,8.68474700331142,0.025215546267864025,219803697.34176654,219813284.840132,Excellent
Trogen,3025,https://osm.org/relation/1683949,0.9954743121436951,0.04436198314700298,26.84995278208329,0.45349458886324423,10028370.945964022,10023922.161735054,Excellent
Lützelflüh,955,https://osm.org/relation/1682544,0.7868346715549918,21.23694971107333,6280.766767765349,21.32602693203223,26868192.422289487,21162207.909293454,Poor
Grosshöchstetten,608,https://osm.org/relation/1682459,0.9988726615559367,0.014488761317276548,3.984083320339709,0.11278925336809516,6930518.730775049,6929514.584458098,Excellent
Démoret,5912,https://osm.org/relation/1684951,0.9985057274448157,0.029747061542013623,3.3005925755036256,0.14951673978992536,4278079.943990108,4276807.340916352,Excellent
