name,country,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Auswil,CH,1682368,322,244,2,0.9999928876645261,4.0718207207239775e-05,0.015,0.0007112362217505478,4623881.439549923,4623883.3223115485
Ursins,CH,1685169,5932,2224,22,0.9999943896249499,0.0001105894731981943,0.014,0.00056103938911934,3361419.447033096,3361423.1644091546
Hettlingen,CH,1682137,221,110,1,0.999994604750855,4.4394941881063976e-05,0.015,0.0005395264897710741,5899754.701893052,5899757.321085723
Neckertal,CH,1683910,3396,1727,17,0.9999983213012865,2.5305751444795824e-06,0.017,0.0001678700149218206,81840278.76077221,81840280.83180197
Trun,CH,1684193,3987,1850,18,0.9998777179831342,0.0034789939521567507,3.412,0.012228736654484854,51901749.25356365,51899943.594846055
Grosswangen,CH,1682846,1086,314,3,0.9998029775790591,0.0159958167121406,3.179,0.01970575909947351,19704274.943276267,19707426.80298065
Härkingen,CH,1683529,2402,1101,11,0.9990445812510764,0.05661534372574388,3.073,0.09561459656197462,5508063.051782785,5511181.4606121825
Degersheim,CH,1683872,3401,1728,17,0.9999952244983554,2.892181863912073e-05,0.015,0.00047755123578909273,14477338.529598452,14477334.342488859
Klosters,CH,5817235,3871,1849,18,0.9999990486187632,3.7764892619917376e-06,0.016,9.51381708005068e-05,219803697.34176654,219803705.64262956
Trogen,CH,1683949,3025,1502,15,0.9999960037783882,5.596171675568365e-06,0.016,0.0003996229485559134,10028370.945964022,10028370.384759167
Lützelflüh,CH,1682544,955,245,2,0.9999953780871262,1.1318246876128772e-05,0.016,0.0004621923815945576,26868192.422289487,26868195.463297836
Grosshöchstetten,CH,1682459,608,246,2,0.9995179533716926,0.004978972521381261,2.92,0.04821748441728307,6930518.730775049,6930863.799398243
Démoret,CH,1684951,5912,2224,22,0.9987041167251444,0.03047900900088298,3.301,0.12965258617542766,4278079.943990108,4276776.027618914
Lutzenberg,CH,1683903,3033,1503,15,0.9999858031367492,6.534836536744283e-05,0.015,0.0014196968665231436,2248142.5164359664,2248143.985560352
Rorschacherberg,CH,1683928,3216,1722,17,0.9999918485244248,0.00035882929174117057,0.204,0.0008151523424745733,7100532.129920002,7100557.608709154
Sarmenstorf,CH,1684413,4076,1903,19,0.9999954524714011,3.815358540413003e-05,0.015,0.00045475380708580673,8296568.817767515,8296565.652329045
Premier,CH,1685108,5759,2224,22,0.999993951663376,0.0001177031906062329,0.209,0.0006048351355624828,6120511.779440428,6120504.575402782
Isenthal,CH,1683085,1211,,4,0.9996736219073976,0.0020815058303802854,3.64,0.03264279652822002,61670049.03382622,61668765.36815998
Kappel am Albis,CH,1682151,6,101,1,0.9999942817852853,1.9802396394542232e-05,0.015,0.0005718231631381032,7914777.83167104,7914779.39898672
Grandson,CH,1684995,5561,2224,22,0.9998080233908307,0.002915598153445938,3.417,0.01919978373484191,13793224.828992784,13793626.984001199
Vully-les-Lacs,CH,1868690,5464,2222,22,0.9999972586206429,0.00014740397121526614,0.019,0.00027413851343488483,34720432.38981899,34720483.569115154
Villigen,CH,1684451,4121,1904,19,0.9999962238113479,1.7606893558863326e-05,0.016,0.0003776195447721515,11214075.890707897,11214073.916257491
Mellikon,CH,1684360,4314,1911,19,0.9999936482901008,7.922750371606997e-05,0.014,0.0006351727556611955,2701786.738671366,2701784.5981131773
Vevey,CH,1685178,5890,2230,22,0.9999962747623268,4.246715616883818e-05,0.013,0.0003725243821389871,8568652.88048636,8568649.24162316
Hünenberg,CH,1683143,1703,,9,0.9999966751104276,6.0372119441610306e-05,0.016,0.00033248941017586175,18663642.307093117,18663631.03945669
Eichberg,CH,1683876,3252,1723,17,0.9999942616959303,2.7865221425472364e-05,0.015,0.0005738321333328125,5437179.666933125,5437181.182015278
