name,bfs_nummer,status,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Oensingen,2407,https://osm.org/relation/1683565,0.03891612373938343,77.64474517695412,654.1502750695818,113.18879349271447,12105841.690824749,2706291.7584583983
Titterten,2894,https://osm.org/relation/1683716,0.12662954689550077,83.74256356006752,417.51523183622857,90.12351062521446,3711079.527193096,603326.3953687648
Ulmiz,2278,https://osm.org/relation/1683414,0.11555910299739569,87.71526566960738,224.33852307185452,89.02191814313728,2842343.291903989,349174.3221681412
Unterlunkhofen,4079,https://osm.org/relation/1684448,0.011109358885968066,48.5206160903569,283.7357909121474,148.15068593075463,4487647.539092137,2310213.3051608917
Rechthalten,2301,https://osm.org/relation/1683385,0.0903629203002507,90.13513863820991,238.5460941966961,91.6549433130343,7305729.359656583,720700.0727977167
Aeschi (SO),2511,https://osm.org/relation/1683474,0.19809161135152684,67.22744486364675,140.23674484376207,88.86751625447687,5476719.068236331,1794860.7763009241
Cortaillod,6408,https://osm.org/relation/1685476,0.13188882643168004,77.29569718717023,179.96991132011564,94.10904483662105,3697260.0360992127,839437.1143737044
Mumpf,4255,https://osm.org/relation/1684369,0.03261419643809135,80.3658360323207,426.04322439131613,112.07708768923086,3136162.5175340124,615759.2909855271
Dietwil,4231,https://osm.org/relation/1684292,0.07064254322995785,80.02271915216707,315.19937405449,104.14473187525408,5491952.150226537,1097142.7050793546
Flumenthal,2545,https://osm.org/relation/1683505,0.20721480257224736,71.6921962582508,269.8541437658717,84.2605038508322,3105947.720998642,879225.5851816277
Davos,3851,https://osm.org/relation/1684068,0.14276850079458633,76.98061608446801,1265.6116098365144,92.2812370413708,284001810.7512528,65375467.14389347
Pieterlen,392,https://osm.org/relation/1682605,0.10031277513272217,77.62884066574692,246.98026470914706,100.05861172696365,8354631.314472733,1869027.8831500974
Küttigen,4008,https://osm.org/relation/1684346,0.11905689639793393,86.80405964363095,400.08842560237593,89.1100205303918,11894822.436562283,1569633.6742247627
Mont-Vully,2284,https://osm.org/relation/5817420,0.00021398642041292837,81.76824602698474,2297.505159528983,118.18116481878505,24336941.530886967,4437051.304467881
Mammern,4826,https://osm.org/relation/1684541,0.07960767650623997,80.31924194054709,274.4506495419424,102.0308148829689,5455630.221366996,1073709.3844856343
Vufflens-le-Château,5653,https://osm.org/relation/1685199,0.06841018786975259,62.779364439510196,115.09171829631023,119.64819088544903,2134530.104191775,794485.6710101638
Tolochenaz,5649,https://osm.org/relation/1685164,0.10067279516104594,89.25165087798355,4928.391668204332,90.48920232634417,5600565.146706719,601968.2947740112
Avegno Gordevio,5324,https://osm.org/relation/1684620,0.2640451760993445,69.70185339388053,516.1597177898188,75.86243858467448,27332305.686679203,8281182.047782796
Braunau,4723,https://osm.org/relation/1684510,0.2908380987231793,70.52516786274131,1107.8862628184895,71.13101032327694,9170493.245191824,2702987.4901789366
Champéry,6151,https://osm.org/relation/1685287,0.2730008543862306,71.7969932158973,877.7570808167982,73.21556468404418,38845518.552056864,10955604.232556468
Acquarossa,5048,https://osm.org/relation/1684610,0.12816905962672842,79.80359733499186,1802.86429005114,92.88585063624278,61782519.74420098,12477846.464126987
Inwil,1033,https://osm.org/relation/1682882,0.040513549267795955,80.56210311235445,760.3533722365984,110.137002875442,10317105.428124867,2005428.314908593
Bernex,6607,https://osm.org/relation/1685451,0.07770869051941431,66.34048075034474,431.94934185062,114.3843546198877,12954228.955691371,4360331.1889853515
Commugny,5711,https://osm.org/relation/1684914,0.11369442502479957,72.74311816567823,254.57085644415142,101.27417475507794,6528818.866306255,1779552.4435660027
Wiesendangen,298,https://osm.org/relation/3411226,0.15129858475886226,61.89824533913575,302.892559481633,101.80430704907756,19174516.69074313,7305827.306913415
Yvonand,5939,https://osm.org/relation/1685207,0.011655383880739119,92.90965840801685,2493.591732524399,104.62274430329772,20826438.994695447,1476665.6661698897
Benken (ZH),22,https://osm.org/relation/1682088,0.1492266712562099,74.97042565488576,312.134612401387,92.55948353578034,5656994.1420719195,1415921.554488649
Cornaux,6451,https://osm.org/relation/1685474,0.38718311709572206,38.969023095031105,55.28723202808275,71.1387704346809,4727198.490467077,2885055.418969
