Name,Country,OSM Relation,BFS Number,Bezirksnummer,Kantonsnummer,IoU,Area Diff [%],Hausdorff Distance [m],Symmetric Diff [%],Area swisstopo [m²],Area OSM [m²]
Rottenschwil,CH,1684407,4238,1908,19,0.9999944430554187,3.9365488024029994e-05,0.013,0.0005556961114747249,4493472.539747541,4493474.308624935
Boussens,CH,1684865,5473,2223,22,0.9999941769786576,0.00023157833279610518,0.017,0.0005823031553561992,3156144.8304574704,3156137.5215098914
Ramsen,CH,1683692,2963,1405,14,0.9999955374362874,5.252740447923125e-08,0.014,0.0004462573670540251,13495841.202717196,13495841.209806211
Rolle,CH,1685122,5861,2228,22,0.9997509227102426,0.003886906692894265,3.486,0.024911315467331715,13508743.002922919,13509268.075158825
Mandach,CH,1684358,4105,1904,19,0.9999951651635761,3.2729163556486054e-05,0.015,0.00048348473205686414,5540921.474211058,5540919.660713806
Altdorf (UR),CH,1683055,1201,,4,0.9988556123963745,0.01817015026089598,3.573,0.11449387620152067,10206103.64358301,10204249.17921519
Gampel-Bratsch,CH,1685309,6118,2306,23,0.9999980153622368,1.0228372078775055e-05,0.016,0.00019846396296193173,23035414.308126554,23035411.95197867
Oulens-sous-Echallens,CH,1685088,5529,2223,22,0.9984354542260175,0.0319019813022256,7.961,0.1566020389823385,5867707.511827034,5869579.426780326
Kaisten,CH,1684338,4169,1906,19,0.9999972299937273,2.35178577797321e-05,0.015,0.00027700097807258637,18089728.939951472,18089724.685634747
Trub,CH,1682691,908,245,2,0.9998297675602343,0.00018343955436198083,4.212,0.017024708669333356,61987137.27765892,61987250.9865873
Pohlern,CH,1682607,936,247,2,0.9999194910269086,0.0032016374775584956,2.095,0.008051350292499234,9866380.414899455,9866696.300632497
Hinwil,CH,1682138,117,105,1,0.9995137112884073,0.016920569614617784,4.923,0.04863658272867901,22281571.7403876,22277801.571530037
Triesenberg,LI,1155948,7004,,,0.9999964827624134,4.066577041771908e-05,0.017,0.0003517244486298011,29688548.026683692,29688560.099760473
Blatten,CH,1685279,6192,2309,23,0.9999818932911253,0.00021336592219188175,2.758,0.0018106892120488877,90511427.38150449,90511620.50204621
Ringgenberg (BE),CH,1682621,590,250,2,0.9999957684555733,0.00010848155983967865,0.015,0.0004231551082509681,8880529.281675553,8880519.647938866
Dürnten,CH,1682112,113,105,1,0.9989267960104844,0.007005503331899378,7.601,0.10737425702500315,10217914.261902956,10217198.445578888
Montilliez,CH,1868687,5540,2223,22,0.9999953168406809,7.180474570248596e-05,0.017,0.0004683171968835217,11860795.61517334,11860804.13178747
Deitingen,CH,1683493,2516,1106,11,0.998825726464215,0.02511776011034191,3.306,0.11748158377546665,7599334.767613554,7597425.984936643
Arlesheim,CH,1683616,2763,1301,13,0.9999960212704765,5.304413328231146e-05,0.015,0.00039787384946395374,6928282.71193,6928286.386977516
Eggerberg,CH,1685295,6004,2301,23,0.9995320147020911,0.013976612172140326,2.941,0.046812754055664194,6047180.026961103,6048025.217860823
Siglistorf,CH,1684426,4319,1911,19,0.9999945109684804,2.5250358005799343e-05,0.014,0.0005489047276952432,5513011.504311459,5513012.896366601
Bardonnex,CH,1685449,6605,,25,0.998708494321992,0.006808694191565731,3.517,0.1292384206115765,4997033.955873444,4997374.188634148
Bettlach,CH,1683481,2543,1107,11,0.999878835882488,0.0006390705258634742,0.527,0.012117184551452536,12192793.044167994,12192870.964714618
Boécourt,CH,1685577,6702,2601,26,0.9994247778276035,0.029682316492759916,5.291,0.05754730544602981,12347074.202900022,12350739.100542523
Le Cerneux-Péquignot,CH,1685503,6434,,24,0.999995830185259,2.9795103646340945e-05,0.019,0.0004169822813638678,15696307.759187244,15696303.082456078
Schellenberg,LI,1155946,7011,,,0.9999915581482448,0.0001631576008900093,0.014,0.0008441880500174216,3558531.7698595016,3558525.963844439
Port-Valais,CH,1685352,6154,2308,23,0.9999976783606782,4.999692796000836e-05,0.013,0.00023216425957610907,15070281.678753857,15070289.21343173
Chavannes-sur-Moudon,CH,1684894,5665,2222,22,0.9996513247137647,0.0061098814606899135,3.331,0.03487254303813278,5148147.244696513,5147832.69900244
Oberdiessbach,CH,3411235,619,246,2,0.9999963598629003,1.7165879782792224e-05,0.495,0.00036401440388725634,16464047.765450545,16464050.591649191
Rain,CH,1682907,1037,313,3,0.998713555247965,0.013029867995719967,4.071,0.12871888897045144,9423561.666638993,9422333.788993334
Stadel,CH,1682210,100,104,1,0.9991733198775709,0.007136432218975992,3.674,0.0826992453808738,12885646.164937468,12884726.58953293
Abtwil,CH,1684253,4221,1908,19,0.9999937470085809,0.00010384931631779635,0.017,0.0006253007720508189,4136312.8844301132,4136308.588897462
Thayngen,CH,1683713,2920,1402,14,0.9998727911374505,0.009825916186728564,1.672,0.01272232042263979,19924449.941625733,19926407.701377664
Serravalle,CH,2569271,5050,2102,21,0.999998570511046,9.149194633751851e-06,0.016,0.00014294900402150783,96801021.42727794,96801030.2837918
Giornico,CH,1684678,5073,2103,21,0.999996822533838,4.183634483976123e-05,0.016,0.0003177471875039405,25995542.59855818,25995553.474143025
Thal,CH,1683948,3237,1722,17,0.9999803527556043,0.0008225856467325789,3.709,0.0019647356596227588,9685894.030494476,9685814.355720423
Ursenbach,CH,1682701,344,244,2,0.999995421017541,5.780431460139453e-06,0.015,0.00045789928117317036,9170471.193268493,9170470.66317569
Bofflens,CH,1684857,5747,2224,22,0.999520777684845,0.011926213335854224,3.182,0.047930858629866985,4206756.872855468,4206255.16605629
Saint-Livres,CH,1685137,5435,2227,22,0.9990648965297546,0.006806077496339546,5.48,0.09355727208283653,8123026.592561031,8123579.452045969
Ruggell,LI,1155950,7010,,,0.999994723755528,5.958350406273325e-05,0.015,0.000527625996334869,7377791.9097229885,7377796.305669931
Lohn (SH),CH,1683671,2917,1402,14,0.9999942477876198,0.0001607948139081981,0.013,0.0005752224299084034,4866151.003478914,4866143.178960463
Auswil,CH,1682368,322,244,2,0.9985219446859376,0.021046861498092227,6.053,0.14789927885104737,4623881.439549923,4622908.257627505
Ursins,CH,1685169,5932,2224,22,0.9999943896249499,0.0001105894731981943,0.014,0.00056103938911934,3361419.447033096,3361423.1644091546
Hettlingen,CH,1682137,221,110,1,0.998047231057996,0.004676789769313032,5.078,0.19547231667977066,5899754.701893052,5900030.621017365
Neckertal,CH,1683910,3396,1727,17,0.9996928605347086,0.009006983226788568,3.728,0.030720047398676113,81840278.76077221,81847650.10095295
Trun,CH,1684193,3987,1850,18,0.9998338641252431,0.001035843251822463,3.412,0.016614881594271106,51901749.25356365,51901211.63279643
